edc_id,x,y,name
edc_0,3955.8218269155714,2083.532083331824,Hospital Carlos III
edc_1,2992.796403059453,5225.269667533913,Hospital Central de la Cruz Roja San José y Santa Adela
edc_2,1892.445036009741,6077.134119529777,Hospital Clínico San Carlos
edc_3,6265.9493601946215,8375.936174610786,Hospital General Universitario Gregorio Marañón
edc_4,5604.779438139329,8996.891899602788,Hospital Infantil Universitario Niño Jesús
edc_5,5714.291428394051,6672.4333192996655,Hospital Universitario de  La Princesa
edc_6,4826.4247112254925,1475.0090357604192,Hospital Universitario la Paz
edc_7,4121.397678423277,651.4006688116556,Hospital Universitario Ramón y Cajal
edc_8,6103.425196313441,8086.932936750873,Hospital Universitario Santa Cristina
